Price,Area,Bedrooms,WC,Length,Width,Floors,has_facade,no_facade,Area_Total,Average_price
4.5,72.0,3.5,2.5,4.0,18.0,2.0,1,0,144.0,6.094126923076923
4.35,64.0,2.762641660770948,1.6865973227849722,4.0,16.0,2.0,1,0,128.0,6.094126923076923
5.7,72.0,3.6102191777159858,3.416528758250916,4.0,18.0,3.0,1,0,216.0,6.094126923076923
5.0,59.0,3.469562137697214,3.4911893246662844,14.0,4.2,3.0,1,0,177.0,6.094126923076923
4.3,43.0,3.0,2.0,12.0,4.0,3.0,1,0,129.0,6.094126923076923
4.85,120.0,3.0,2.0,27.0,4.2,2.0,1,0,240.0,6.094126923076923
6.9,87.0,5.0,3.873202856733766,22.0,4.0,3.0,1,0,261.0,6.094126923076923
2.87,46.0,3.0,2.0,11.5,4.0,2.0,1,0,92.0,6.094126923076923
7.0,72.0,3.0,3.0,18.0,4.0,3.0,1,0,216.0,6.094126923076923
4.5,41.0,2.0,2.0,4.0,10.0,2.0,1,0,82.0,6.094126923076923
9.98,143.5,7.0,7.071192915250995,20.0,4.5,1.0,1,0,270.0,6.094126923076923
4.0,70.0,3.0,2.0,5.0,6.0,2.0,1,0,140.0,6.094126923076923
4.8,60.0,2.0,2.8,15.0,4.0,2.0,1,0,120.0,6.094126923076923
4.2,84.0,3.028860395626518,2.259161826191592,14.0,6.0,1.0,0,1,84.0,6.094126923076923
4.9,64.0,2.0,2.0,4.0,16.0,2.0,1,0,128.0,6.094126923076923
7.38,100.0,4.0,3.0,4.0,24.0,3.0,1,0,300.0,6.094126923076923
4.1,52.0,2.0,2.0,13.0,4.0,2.0,1,0,104.0,6.094126923076923
3.6,50.0,2.0,2.0,12.5,4.0,2.0,1,0,100.0,6.094126923076923
14.0,143.5,5.0,5.0,20.0,8.0,1.0,1,0,160.0,6.094126923076923
5.6,64.0,4.0,4.0,4.0,16.0,3.0,1,0,192.0,6.094126923076923
4.35,56.0,3.0,2.7168658345024914,14.0,4.0,4.0,1,0,224.0,6.094126923076923
5.0,56.0,3.0,4.0,14.0,4.0,2.0,1,0,112.0,6.094126923076923
7.8,74.0,4.0,4.0,18.0,4.1,4.0,1,0,296.0,6.094126923076923
4.5,71.0,2.970327716103961,2.376798259639206,18.0,4.0,2.0,1,0,142.0,6.094126923076923
7.2,140.0,4.644982845950299,3.1876774426091297,28.0,5.0,1.0,1,0,140.0,6.094126923076923
5.5,66.0,1.0,1.0,4.0,16.5,2.0,1,0,132.0,6.094126923076923
6.0,64.0,4.0,4.0,16.0,4.0,3.0,1,0,192.0,6.094126923076923
4.68,48.0,4.0,4.0,12.0,4.0,3.0,1,0,144.0,6.094126923076923
5.6,72.0,4.0,3.6666666666666665,4.0,18.0,3.0,1,0,216.0,6.094126923076923
4.1,44.0,3.0,2.6585748176113633,4.0,11.0,3.0,1,0,132.0,6.094126923076923
6.68,80.0,3.0,3.0,4.0,20.0,2.0,1,0,160.0,6.094126923076923
4.2,48.0,2.0,2.0,12.0,4.0,2.0,1,0,96.0,6.094126923076923
5.88,80.0,4.0,4.0,20.0,4.0,4.0,1,0,320.0,6.094126923076923
8.8,143.5,3.0,7.071192915250995,20.0,7.5,3.0,1,0,486.0,6.094126923076923
6.15,52.0,4.0,4.0,13.0,4.0,4.0,1,0,208.0,6.094126923076923
5.75,53.0,4.0,4.0,12.5,4.2,4.0,1,0,212.0,6.094126923076923
4.35,44.0,2.0,2.0,4.0,11.0,2.0,1,0,88.0,6.094126923076923
6.68,78.0,4.0,4.0,4.0,19.0,4.0,1,0,312.0,6.094126923076923
